Designator,Mid X,Mid Y,Rotation,Layer
_2,61.75,-52.15,0.0,top
,43.95,-52.15,90.0,top
C1,61.3,-93.0,0.0,bottom
C10,54.1,-89.433333,180.0,bottom
C11,54.1,-92.966667,180.0,bottom
C12,54.1,-96.5,180.0,bottom
C13,50.7,-85.9,180.0,bottom
C14,50.7,-89.433333,180.0,bottom
C15,50.7,-92.966667,180.0,bottom
C16,50.7,-96.5,180.0,bottom
C17,47.1,-85.9,180.0,bottom
C18,47.1,-89.433333,180.0,bottom
C19,47.1,-92.966667,180.0,bottom
C2,61.3,-86.2,0.0,bottom
C20,47.1,-96.5,180.0,bottom
C21,62.45,-73.2,90.0,bottom
C22,54.75,-73.55,180.0,bottom
C23,61.6,-61.2,0.0,bottom
C24,56.45,-66.5,90.0,bottom
C25,47.65,-51.8,270.0,bottom
C26,47.7,-57.3,270.0,bottom
C27,49.15,-73.65,180.0,bottom
C29,44.2,-93.0,0.0,bottom
C3,45.35,-60.2,270.0,bottom
C30,44.3,-86.2,0.0,bottom
C4,55.95,-83.65,90.0,bottom
C5,57.7,-85.9,180.0,bottom
C6,57.7,-89.433333,180.0,bottom
C7,57.7,-92.966667,180.0,bottom
C8,57.7,-96.5,180.0,bottom
C9,54.1,-85.9,180.0,bottom
LED1,42.4,-52.0,0.0,top
LED10,54.9,-52.0,0.0,top
LED100,46.5,-65.8,0.0,top
LED101,48.0,-65.8,0.0,top
LED102,49.3,-65.8,0.0,top
LED103,50.8,-65.8,0.0,top
LED104,52.1,-65.8,0.0,top
LED105,53.6,-65.8,0.0,top
LED106,54.9,-65.8,0.0,top
LED107,56.4,-65.8,0.0,top
LED108,57.7,-65.8,0.0,top
LED109,59.2,-65.8,0.0,top
LED11,56.4,-52.0,0.0,top
LED110,60.5,-65.8,0.0,top
LED111,62.0,-65.8,0.0,top
LED112,63.3,-65.8,0.0,top
LED113,42.4,-68.1,0.0,top
LED114,43.7,-68.1,0.0,top
LED115,45.2,-68.1,0.0,top
LED116,46.5,-68.1,0.0,top
LED117,48.0,-68.1,0.0,top
LED118,49.3,-68.1,0.0,top
LED119,50.8,-68.1,0.0,top
LED12,57.7,-52.0,0.0,top
LED120,52.1,-68.1,0.0,top
LED121,53.6,-68.1,0.0,top
LED122,54.9,-68.1,0.0,top
LED123,56.4,-68.1,0.0,top
LED124,57.7,-68.1,0.0,top
LED125,59.2,-68.1,0.0,top
LED126,60.5,-68.1,0.0,top
LED127,62.0,-68.1,0.0,top
LED128,63.3,-68.1,0.0,top
LED129,42.4,-70.4,0.0,top
LED13,59.2,-52.0,0.0,top
LED130,43.7,-70.4,0.0,top
LED131,45.2,-70.4,0.0,top
LED132,46.5,-70.4,0.0,top
LED133,48.0,-70.4,0.0,top
LED134,49.3,-70.4,0.0,top
LED135,50.8,-70.4,0.0,top
LED136,52.1,-70.4,0.0,top
LED137,53.6,-70.4,0.0,top
LED138,54.9,-70.4,0.0,top
LED139,56.4,-70.4,0.0,top
LED14,60.5,-52.0,0.0,top
LED140,57.7,-70.4,0.0,top
LED141,59.2,-70.4,0.0,top
LED142,60.5,-70.4,0.0,top
LED143,62.0,-70.4,0.0,top
LED144,63.3,-70.4,0.0,top
LED145,42.4,-72.7,0.0,top
LED146,43.7,-72.7,0.0,top
LED147,45.2,-72.7,0.0,top
LED148,46.5,-72.7,0.0,top
LED149,48.0,-72.7,0.0,top
LED15,62.0,-52.0,0.0,top
LED150,49.3,-72.7,0.0,top
LED151,50.8,-72.7,0.0,top
LED152,52.1,-72.7,0.0,top
LED153,53.6,-72.7,0.0,top
LED154,54.9,-72.7,0.0,top
LED155,56.4,-72.7,0.0,top
LED156,57.7,-72.7,0.0,top
LED157,59.2,-72.7,0.0,top
LED158,60.5,-72.7,0.0,top
LED159,62.0,-72.7,0.0,top
LED16,63.3,-52.0,0.0,top
LED160,63.3,-72.7,0.0,top
LED161,42.4,-75.0,0.0,top
LED162,43.7,-75.0,0.0,top
LED163,45.2,-75.0,0.0,top
LED164,46.5,-75.0,0.0,top
LED165,48.0,-75.0,0.0,top
LED166,49.3,-75.0,0.0,top
LED167,50.8,-75.0,0.0,top
LED168,52.1,-75.0,0.0,top
LED169,53.6,-75.0,0.0,top
LED17,42.4,-54.3,0.0,top
LED170,54.9,-75.0,0.0,top
LED171,56.4,-75.0,0.0,top
LED172,57.7,-75.0,0.0,top
LED173,59.2,-75.0,0.0,top
LED174,60.5,-75.0,0.0,top
LED175,62.0,-75.0,0.0,top
LED176,63.3,-75.0,0.0,top
LED177,42.4,-77.3,0.0,top
LED178,43.7,-77.3,0.0,top
LED179,45.2,-77.3,0.0,top
LED18,43.7,-54.3,0.0,top
LED180,46.5,-77.3,0.0,top
LED181,48.0,-77.3,0.0,top
LED182,49.3,-77.3,0.0,top
LED183,50.8,-77.3,0.0,top
LED184,52.1,-77.3,0.0,top
LED185,53.6,-77.3,0.0,top
LED186,54.9,-77.3,0.0,top
LED187,56.4,-77.3,0.0,top
LED188,57.7,-77.3,0.0,top
LED189,59.2,-77.3,0.0,top
LED19,45.2,-54.3,0.0,top
LED190,60.5,-77.3,0.0,top
LED191,62.0,-77.3,0.0,top
LED192,63.3,-77.3,0.0,top
LED193,42.4,-79.6,0.0,top
LED194,43.7,-79.6,0.0,top
LED195,45.2,-79.6,0.0,top
LED196,46.5,-79.6,0.0,top
LED197,48.0,-79.6,0.0,top
LED198,49.3,-79.6,0.0,top
LED199,50.8,-79.6,0.0,top
LED2,43.7,-52.0,0.0,top
LED20,46.5,-54.3,0.0,top
LED200,52.1,-79.6,0.0,top
LED201,53.6,-79.6,0.0,top
LED202,54.9,-79.6,0.0,top
LED203,56.4,-79.6,0.0,top
LED204,57.7,-79.6,0.0,top
LED205,59.2,-79.6,0.0,top
LED206,60.5,-79.6,0.0,top
LED207,62.0,-79.6,0.0,top
LED208,63.3,-79.6,0.0,top
LED21,48.0,-54.3,0.0,top
LED22,49.3,-54.3,0.0,top
LED23,50.8,-54.3,0.0,top
LED24,52.1,-54.3,0.0,top
LED25,53.6,-54.3,0.0,top
LED26,54.9,-54.3,0.0,top
LED27,56.4,-54.3,0.0,top
LED28,57.7,-54.3,0.0,top
LED29,59.2,-54.3,0.0,top
LED3,45.2,-52.0,0.0,top
LED30,60.5,-54.3,0.0,top
LED31,62.0,-54.3,0.0,top
LED32,63.3,-54.3,0.0,top
LED33,42.4,-56.6,0.0,top
LED34,43.7,-56.6,0.0,top
LED35,45.2,-56.6,0.0,top
LED36,46.5,-56.6,0.0,top
LED37,48.0,-56.6,0.0,top
LED38,49.3,-56.6,0.0,top
LED39,50.8,-56.6,0.0,top
LED4,46.5,-52.0,0.0,top
LED40,52.1,-56.6,0.0,top
LED41,53.6,-56.6,0.0,top
LED42,54.9,-56.6,0.0,top
LED43,56.4,-56.6,0.0,top
LED44,57.7,-56.6,0.0,top
LED45,59.2,-56.6,0.0,top
LED46,60.5,-56.6,0.0,top
LED47,62.0,-56.6,0.0,top
LED48,63.3,-56.6,0.0,top
LED49,42.4,-58.9,0.0,top
LED5,48.0,-52.0,0.0,top
LED50,43.7,-58.9,0.0,top
LED51,45.2,-58.9,0.0,top
LED52,46.5,-58.9,0.0,top
LED53,48.0,-58.9,0.0,top
LED54,49.3,-58.9,0.0,top
LED55,50.8,-58.9,0.0,top
LED56,52.1,-58.9,0.0,top
LED57,53.6,-58.9,0.0,top
LED58,54.9,-58.9,0.0,top
LED59,56.4,-58.9,0.0,top
LED6,49.3,-52.0,0.0,top
LED60,57.7,-58.9,0.0,top
LED61,59.2,-58.9,0.0,top
LED62,60.5,-58.9,0.0,top
LED63,62.0,-58.9,0.0,top
LED64,63.3,-58.9,0.0,top
LED65,42.4,-61.2,0.0,top
LED66,43.7,-61.2,0.0,top
LED67,45.2,-61.2,0.0,top
LED68,46.5,-61.2,0.0,top
LED69,48.0,-61.2,0.0,top
LED7,50.8,-52.0,0.0,top
LED70,49.3,-61.2,0.0,top
LED71,50.8,-61.2,0.0,top
LED72,52.1,-61.2,0.0,top
LED73,53.6,-61.2,0.0,top
LED74,54.9,-61.2,0.0,top
LED75,56.4,-61.2,0.0,top
LED76,57.7,-61.2,0.0,top
LED77,59.2,-61.2,0.0,top
LED78,60.5,-61.2,0.0,top
LED79,62.0,-61.2,0.0,top
LED8,52.1,-52.0,0.0,top
LED80,63.3,-61.2,0.0,top
LED81,42.4,-63.5,0.0,top
LED82,43.7,-63.5,0.0,top
LED83,45.2,-63.5,0.0,top
LED84,46.5,-63.5,0.0,top
LED85,48.0,-63.5,0.0,top
LED86,49.3,-63.5,0.0,top
LED87,50.8,-63.5,0.0,top
LED88,52.1,-63.5,0.0,top
LED89,53.6,-63.5,0.0,top
LED9,53.6,-52.0,0.0,top
LED90,54.9,-63.5,0.0,top
LED91,56.4,-63.5,0.0,top
LED92,57.7,-63.5,0.0,top
LED93,59.2,-63.5,0.0,top
LED94,60.5,-63.5,0.0,top
LED95,62.0,-63.5,0.0,top
LED96,63.3,-63.5,0.0,top
LED97,42.4,-65.8,0.0,top
LED98,43.7,-65.8,0.0,top
LED99,45.2,-65.8,0.0,top
RN1,46.55,-64.7,90.0,bottom
RN10,61.35,-89.55,90.0,bottom
RN11,44.2,-89.55,90.0,bottom
RN12,61.35,-96.35,90.0,bottom
RN13,44.2,-96.35,90.0,bottom
RN2,46.55,-70.2,90.0,bottom
RN3,57.6,-53.6,270.0,bottom
RN4,57.6,-59.1,270.0,bottom
RN5,52.05,-83.5375,0.0,bottom
RN6,46.45,-83.5375,0.0,bottom
RN7,60.2,-83.5,0.0,bottom
RN8,59.7,-71.8,0.0,bottom
U1,52.1,-64.725,90.0,bottom
U10,54.55,-94.566667,180.0,bottom
U11,54.55,-91.033333,180.0,bottom
U12,54.55,-87.5,180.0,bottom
U13,58.15,-98.1,180.0,bottom
U14,58.15,-94.566667,180.0,bottom
U15,58.15,-91.033333,180.0,bottom
U16,58.15,-87.5,180.0,bottom
U17,51.15,-87.5,180.0,bottom
U18,51.15,-91.033333,180.0,bottom
U19,51.15,-94.566667,180.0,bottom
U2,52.1,-70.225,90.0,bottom
U20,51.15,-98.1,180.0,bottom
U21,47.55,-87.5,180.0,bottom
U22,47.55,-91.033333,180.0,bottom
U23,47.55,-94.566667,180.0,bottom
U24,47.55,-98.1,180.0,bottom
U3,52.1125,-53.6,270.0,bottom
U4,52.1125,-59.1,270.0,bottom
U5,52.0,-78.0,0.0,bottom
U6,46.4,-78.0,0.0,bottom
U7,54.55,-98.1,180.0,bottom
U8,59.525,-78.0125,0.0,bottom
U9,59.8,-65.6625,0.0,bottom
